sample_code,site_code,collection_date,e_coli,total_coliforms,large_wells,small_wells,fluorescence_large,fluorescence_small,data_conditions
APL1_2025-05-18,APL1,2025-05-18,29.9,1553.1,49,44,23,0,nan
AWL1_2025-05-18,AWL1,2025-05-18,478.6,,49,48,48,32,nan
AX1_2025-05-18,AX1,2025-05-18,114.5,,49,48,43,9,nan
AX2_2025-05-18,AX2,2025-05-18,123.6,,49,48,45,7,nan
BB1_2025-05-18,BB1,2025-05-18,90.9,,49,48,39,9,nan
BD1a_2025-05-18,BD1a,2025-05-18,298.7,,49,48,48,22,nan
BLDL1_2025-05-18,BLDL1,2025-05-18,410.6,,49,48,49,23,nan
BRL1_2025-05-18,BRL1,2025-05-18,59.4,,49,48,34,3,nan
CB2_2025-05-18,CB2,2025-05-18,129.1,,49,48,46,6,nan
CB3_2025-05-18,CB3,2025-05-18,74.8,,49,48,34,11,nan
CL2_2025-05-18,CL2,2025-05-18,139.6,2419.6,49,47,45,11,nan
CL4_2025-05-18,CL4,2025-05-18,166.4,,49,48,47,11,nan
CL5_2025-05-18,CL5,2025-05-18,93.4,,49,48,39,10,nan
CTL1_2025-05-18,CTL1,2025-05-18,69.5,,49,48,33,10,nan
CVL1_2025-05-18,CVL1,2025-05-18,96.0,,49,48,42,5,nan
DB1_2025-05-18,DB1,2025-05-18,1203.3,,49,48,49,41,nan
DE1_2025-05-18,DE1,2025-05-18,275.5,,49,48,49,16,nan
ETL1_2025-05-18,ETL1,2025-05-18,83.6,,49,48,39,6,nan
GMP1_2025-05-18,GMP1,2025-05-18,209.8,,49,48,48,14,nan
HA1_2025-05-18,HA1,2025-05-18,524.7,1011.2,48,48,48,34,g
HB3_2025-05-18,HB3,2025-05-18,150.0,,49,48,47,8,nan
HL2_2025-05-18,HL2,2025-05-18,135.4,,49,48,45,10,nan
HO1_2025-05-18,HO1,2025-05-18,137.9,,49,48,48,3,nan
MB3_2025-05-18,MB3,2025-05-18,113.7,,49,48,42,11,nan
MR3_2025-05-18,MR3,2025-05-18,435.2,,49,48,49,24,nan
MR4_2025-05-18,MR4,2025-05-18,770.1,,49,48,49,34,nan
PMRL1_2025-05-18,PMRL1,2025-05-18,231.0,,49,48,47,20,nan
PNVL1_2025-05-18,PNVL1,2025-05-18,30.5,2419.6,49,47,21,3,nan
PP1_2025-05-18,PP1,2025-05-18,90.6,,49,48,41,5,nan
PRP1_2025-05-18,PRP1,2025-05-18,21.8,,49,48,18,0,nan
RK1_2025-05-18,RK1,2025-05-18,261.3,,49,48,49,15,nan
RO1a_2025-05-18,RO1a,2025-05-18,191.8,,49,48,47,15,g
ROL1_2025-05-18,ROL1,2025-05-18,45.0,,49,48,27,5,nan
SB9_2025-05-18,SB9,2025-05-18,111.9,,49,48,44,6,nan
SPBP1_2025-05-18,SPBP1,2025-05-18,71.9,,49,48,32,13,nan
SPBP2_2025-05-18,SPBP2,2025-05-18,307.6,,49,48,49,18,nan
SYL1_2025-05-18,SYL1,2025-05-18,866.4,,49,48,49,36,nan
SYNL1_2025-05-18,SYNL1,2025-05-18,727.0,,49,48,49,33,nan
ABM4_2025-05-25,ABM4,2025-05-25,191.8,,49,48,47,15,nan
APL1_2025-05-25,APL1,2025-05-25,29.2,,49,48,21,2,nan
AWL1_2025-05-25,AWL1,2025-05-25,2419.6,,49,48,49,48,nan
AX1_2025-05-25,AX1,2025-05-25,50.4,,49,48,30,4,nan
AX2_2025-05-25,AX2,2025-05-25,88.0,,49,48,41,4,nan
BB1_2025-05-25,BB1,2025-05-25,127.4,,49,48,45,8,nan
BD1a_2025-05-25,BD1a,2025-05-25,145.5,,49,48,44,15,nan
BLDL1_2025-05-25,BLDL1,2025-05-25,19.9,,49,48,15,2,nan
BRL1_2025-05-25,BRL1,2025-05-25,81.3,,49,48,39,5,nan
CB2_2025-05-25,CB2,2025-05-25,104.3,,49,48,41,10,nan
CB3_2025-05-25,CB3,2025-05-25,113.0,,49,48,41,13,nan
CL2_2025-05-25,CL2,2025-05-25,613.1,,49,48,49,30,nan
CL4_2025-05-25,CL4,2025-05-25,261.3,,49,48,49,15,nan
CL5_2025-05-25,CL5,2025-05-25,365.4,,49,48,49,21,nan
CTL1_2025-05-25,CTL1,2025-05-25,59.1,,49,48,32,6,nan
CVL1_2025-05-25,CVL1,2025-05-25,65.7,,49,48,33,8,nan
DB1_2025-05-25,DB1,2025-05-25,115.3,,49,48,44,7,nan
DE1_2025-05-25,DE1,2025-05-25,161.6,,49,48,46,13,nan
ETL1_2025-05-25,ETL1,2025-05-25,193.5,,49,48,48,12,nan
GMP1_2025-05-25,GMP1,2025-05-25,39.7,,49,48,23,7,nan
GRPL1_2025-05-25,GRPL1,2025-05-25,2419.6,,49,48,49,48,nan
HA1_2025-05-25,HA1,2025-05-25,307.6,,49,48,49,18,nan
HB3_2025-05-25,HB3,2025-05-25,9.8,,49,48,9,0,nan
HL2_2025-05-25,HL2,2025-05-25,85.7,1986.3,49,46,40,5,j *2
HO1_2025-05-25,HO1,2025-05-25,85.7,1011.2,48,48,40,5,g
MB3_2025-05-25,MB3,2025-05-25,107.1,,49,48,41,11,nan
MDWL1_2025-05-25,MDWL1,2025-05-25,90.8,,49,48,40,7,nan
MR3_2025-05-25,MR3,2025-05-25,113.0,,49,48,41,13,nan
MR4_2025-05-25,MR4,2025-05-25,204.6,,49,48,49,10,nan
PL1_2025-05-25,PL1,2025-05-25,155.3,2419.6,49,47,47,9,nan
PMRL1_2025-05-25,PMRL1,2025-05-25,50.4,,49,48,30,4,nan
PNVL1_2025-05-25,PNVL1,2025-05-25,9.6,1046.2,49,39,7,2,nan
PP1_2025-05-25,PP1,2025-05-25,152.9,1011.2,48,48,45,14,g
PRP1_2025-05-25,PRP1,2025-05-25,275.5,,49,48,49,16,nan
RBA_2025-05-25,RBA,2025-05-25,22.3,2419.6,49,47,10,10,nan
RK1_2025-05-25,RK1,2025-05-25,137.6,,49,48,46,8,nan
ROL1_2025-05-25,ROL1,2025-05-25,34.1,755.6,48,42,23,3,g
SB9_2025-05-25,SB9,2025-05-25,178.9,,49,48,48,10,nan
SYL1_2025-05-25,SYL1,2025-05-25,21.1,,49,48,15,3,nan
SYNL1_2025-05-25,SYNL1,2025-05-25,272.3,2419.6,49,47,48,20,j
ABM4_2025-06-01,ABM4,2025-06-01,2419.6,,49,48,49,48,nan
AC4_2025-06-01,AC4,2025-06-01,648.8,,49,48,49,31,nan
APL1_2025-06-01,APL1,2025-06-01,16.0,488.4,49,26,13,1,nan
AWL1_2025-06-01,AWL1,2025-06-01,2419.6,,49,48,49,48,nan
AX1_2025-06-01,AX1,2025-06-01,920.8,,49,48,49,37,nan
AX2_2025-06-01,AX2,2025-06-01,870.4,1011.2,48,48,48,45,g
BB1_2025-06-01,BB1,2025-06-01,1732.9,,49,48,49,45,nan
BD1a_2025-06-01,BD1a,2025-06-01,870.4,1011.2,48,48,48,45,g
BLDL1_2025-06-01,BLDL1,2025-06-01,1986.3,,49,48,49,46,nan
BRL1_2025-06-01,BRL1,2025-06-01,579.4,,49,48,49,29,nan
CB2_2025-06-01,CB2,2025-06-01,238.2,,49,48,48,17,nan
CB3_2025-06-01,CB3,2025-06-01,135.4,1011.2,48,48,45,10,g
CL4_2025-06-01,CL4,2025-06-01,1011.2,1011.2,48,48,48,48,g
CL5_2025-06-01,CL5,2025-06-01,2419.6,,49,48,49,47,nan
CTL1_2025-06-01,CTL1,2025-06-01,2419.6,,49,48,49,48,nan
CVL1_2025-06-01,CVL1,2025-06-01,770.1,,49,48,49,34,nan
